mes,ipca_variacao,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_doze_meses,ipa_variacao,selic_ano,juros_reais
02,0.44,3.02,0.46,2.91,0.19,12.93,9.62
03,0.37,2.96,0.41,2.95,0.11,12.74,9.5
04,0.25,3,0.22,3,0.02,12.58,9.3
05,0.28,3.18,0.26,2.99,-0.04,12.43,8.96
06,0.28,3.69,0.29,3.44,0.09,12.03,8.04
07,0.24,3.74,0.24,3.71,0.42,11.73,7.7
08,0.47,4.18,0.42,3.95,1.96,11.43,6.96
09,0.18,4.15,0.29,4.2,1.64,11.22,6.79
10,0.3,4.12,0.24,4.15,1.02,11.18,6.78
11,0.38,4.19,0.23,4,1.45,11.18,6.71
12,0.74,4.46,0.7,4.36,1.9,11.18,6.43
01,0.54,4.56,0.7,4.55,1.08,11.18,6.33
02,0.49,4.61,0.64,4.74,0.52,11.18,6.28
03,0.48,4.73,0.23,4.55,0.8,11.18,6.16
04,0.55,5.04,0.59,4.94,1.3,11.37,6.03
05,0.79,5.58,0.56,5.25,2.22,11.63,5.73
06,0.74,6.06,0.9,5.89,2.29,12.09,5.69
07,0.53,6.37,0.63,6.3,1.28,12.36,5.63
08,0.28,6.17,0.35,6.23,-0.8,12.92,6.36
09,0.26,6.25,0.26,6.2,0.44,13.39,6.72
10,0.45,6.41,0.3,6.26,1.36,13.66,6.81
11,0.36,6.39,0.49,6.54,-0.17,13.64,6.81
12,0.28,5.9,0.29,6.1,-0.88,13.66,7.33
01,0.48,5.84,0.4,5.79,-0.33,13.32,7.07
02,0.55,5.9,0.63,5.77,-0.31,12.66,6.38
03,0.2,5.61,0.11,5.65,-1.46,11.7,5.77
04,0.48,5.53,0.36,5.4,-0.1,11.11,5.29
05,0.47,5.2,0.59,5.44,-0.1,10.16,4.71
06,0.36,4.8,0.38,4.89,-0.64,9.54,4.52
07,0.24,4.5,0.22,4.47,-1.16,9.01,4.32
08,0.15,4.36,0.23,4.34,0.07,8.65,4.11
09,0.24,4.34,0.19,4.27,0.29,8.65,4.13
10,0.28,4.17,0.18,4.14,-0.08,8.65,4.3
11,0.41,4.22,0.44,4.09,-0.04,8.65,4.25
12,0.37,4.31,0.38,4.18,-0.29,8.65,4.16
01,0.75,4.59,0.52,4.31,0.96,8.65,3.88
02,0.78,4.83,0.94,4.63,1.38,8.65,3.64
03,0.52,5.17,0.55,5.09,0.52,8.65,3.31
04,0.57,5.26,0.48,5.22,0.68,8.72,3.29
05,0.43,5.22,0.63,5.26,2.06,9.4,3.97
06,0,4.84,0.19,5.06,0.43,9.94,4.86
07,0.01,4.6,-0.09,4.74,0.34,10.32,5.47
08,0.04,4.49,-0.05,4.44,1.7,10.66,5.9
09,0.45,4.7,0.31,4.57,1.47,10.66,5.69
10,0.75,5.2,0.62,5.03,1.32,10.66,5.19
11,0.83,5.63,0.86,5.47,1.98,10.66,4.76
12,0.63,5.91,0.69,5.79,0.21,10.66,4.48
01,0.83,5.99,0.76,6.04,0.96,10.85,4.59
02,0.8,6.01,0.97,6.08,1.23,11.17,4.87
03,0.79,6.3,0.6,6.13,0.6,11.62,5
04,0.77,6.51,0.77,6.44,0.24,11.74,4.91
05,0.47,6.55,0.7,6.51,-0.63,11.92,5.04
06,0.15,6.71,0.23,6.55,-0.19,12.1,5.05
07,0.16,6.87,0.1,6.75,-0.13,12.25,5.03
08,0.37,7.23,0.27,7.1,0.77,12.42,4.84
09,0.53,7.31,0.53,7.33,0.94,11.91,4.29
10,0.43,6.97,0.42,7.12,0.48,11.7,4.42
